DB00281,DB00296,0.4688
DB01267,DB00734,0.9375
DB00874,DB00187,0.1406
DB00706,DB00499,0.0313
DB01576,DB00191,0.8828
DB00867,DB00884,0.0078
DB00249,DB00432,0.9055
DB01522,DB04552,0.0156
DB00264,DB01297,0.5669
DB00353,DB01253,0.9844
DB00942,DB01120,0
DB00341,DB00244,0.0078
DB00231,DB01594,0.7421
DB00443,DB00620,0.9212
DB001414,DB01333,0.5039
DB00724,DB00214,0.0078
DB00187,DB00571,0.2422
DB00571,DB00866,0.4961
DB06710,DB00931,0.0078
DB01351,DB01353,0.9766
DB01567,DB00829,0.9453
DB01053,DB01150,0.3937
DB00874,DB00193,0.0469
DB01062,DB04794,0
DB01059,DB00817,0.7953
DB00830,DB00120,0.1575
DB00856,DB00341,0.0156
DB00186,DB00842,0.9453
DB01602,DB00874,0
DB04574,DB00655,0.8359
DB01060,DB00610,0.0234
DB00867,DB01288,0.8438
DB00120,DB00731,0.25
DB01059,DB00365,0.8438
DB00799,DB00203,0.0234
DB01068,DB00499,0.0547
DB00776,DB00780,0.0156
DB00312,DB01352,0.875
DB00179,DB00190,0.1094
DB03567,DB00428,0.5827
DB01018,DB00808,0.0236
DB00717,DB00603,0.8125
DB01055,DB00462,0.0156
DB06711,DB00797,0.7109
DB01059,DB00685,0.4063
DB08797,DB00936,0.81
DB00586,DB00235,0.0156
DB00832,DB01009,0.0313
DB01150,DB01140,0.9375
DB01065,DB00669,0.5781
DB00178,DB01148,0.0156
DB00266,DB00682,0.5078
DB00829,DB00363,0.1953
DB00783,DB04573,0.9375
DB00591,DB00180,0.9765
DB04876,DB04027,0.0078
DB00835,DB00748,0.81
DB00186,DB01192,0.0234
DB00120,DB01050,0.1797
DB00123,DB00261,0
DB00936,DB00170,0.0234
DB00324,DB00443,0.9063
DB01147,DB00485,0.9375
DB00497,DB00318,0.9219
DB01260,DB00741,0.7222
DB01062,DB00979,0.375
DB06150,DB00152,0.0859
DB00195,DB00264,0.9531
DB06712,DB01115,0.6641
DB00117,DB00191,0.0391
DB00117,DB00165,0.0078
DB01348,DB00584,0.5313
DB08811,DB08801,0.0625
DB01246,DB01403,0.9141
DB12286,DB01102,0.0313
DB00670,DB00835,0.0391
DB00454,DB00454,0.9921
DB00725,DB00706,0.0234
DB00249,DB04485,0.8594
DB00218,DB01059,0.5591
DB00312,DB00418,0.9141
DB03252,DB00129,0.9375
DB00473,DB00155,0.0236
DB00968,DB00135,0.8504
DB02174,DB00369,0.0315
DB01038,DB01063,0.9764
DB00221,DB00869,0.0079
DB01544,DB00829,0.8661
DB00741,DB00860,0.9297
DB08795,DB00473,0.0156
DB08808,DB01203,0.4609
DB00540,DB00215,0.0551
DB01013,DB00421,0.3413
DB06707,DB00397,0.748
DB00454,DB00135,0.0159
DB00180,DB00959,0.6772
DB06781,DB00591,0.7638
